id,slug,name,cluster,cluster_ar,destination,type,official_url,official_domain,tags,family_score,honeymoon_score,privacy_score,nature_score,luxury_score,audience_segments,saudi_fit_reason_ar,content_angle_ar,crawl_hints,source_strategy,media_rights_note_ar,cohort,launch_priority,data_status
18,ridos-thermal-hotel-and-spa,Ridos Thermal Hotel and Spa,Black Sea Nature,طبيعة البحر الأسود,Ikizdere / Rize,Thermal Mountain Hotel,https://www.ridosotel.com.tr/en/,ridosotel.com.tr,"thermal, mountain, forest, spa, family",4,1,1,4,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كرحلة استرخاء وسبا: ابدأ بالطبيعة، ثم الحمامات/الحراري، ثم سهولة الرحلة للعائلة أو الزوجين.,"homepage, rooms, gallery, offers, dining, spa, location, contact, thermal, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,11,ready_for_ingestion
19,babillon-hotel-and-spa-and-restaurant,Babillon Hotel and Spa and Restaurant,Black Sea Nature,طبيعة البحر الأسود,Rize,Beachfront Hotel,https://babillonhotel.com/,babillonhotel.com,"private_beach, black_sea, family, spa",4,1,2,3,2,"family, wellness, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,12,ready_for_ingestion
20,hancioglu-camburnu-orman-evleri-and-hotel,Hancioglu Camburnu Orman Evleri and Hotel,Black Sea Nature,طبيعة البحر الأسود,Surmene / Trabzon,Forest Lodges,https://camburnu.com/,camburnu.com,"forest, black_sea, bungalow, family, nature",5,1,1,4,2,"family, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,13,ready_for_ingestion
21,ayder-doga-resort-hotel,Ayder Doga Resort Hotel,Black Sea Nature,طبيعة البحر الأسود,Ayder / Rize,Mountain Resort,https://www.aydervillage.com/en-US/,aydervillage.com,"mountain, forest, waterfall, honeymoon, family",4,3,1,4,2,"family, honeymoon, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,14,ready_for_ingestion
22,kackar-resort-hotel,Kackar Resort Hotel,Black Sea Nature,طبيعة البحر الأسود,Ayder / Rize,Mountain Resort,https://accommodation.kackarbyutmb.com/kackarresort,accommodation.kackarbyutmb.com,"mountain, forest, spa, family, nature",4,1,1,4,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,15,ready_for_ingestion
23,sera-lake-resort-hotel,Sera Lake Resort Hotel,Black Sea Nature,طبيعة البحر الأسود,Trabzon,Lake View Resort,https://seralakehotel.com/en/,seralakehotel.com,"lake, sea_view, family, spa, black_sea",4,1,1,3,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,16,ready_for_ingestion
26,mandarin-oriental-bodrum,Mandarin Oriental Bodrum,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Bodrum,Luxury Resort,https://www.mandarinoriental.com/en/bodrum/paradise-bay,mandarinoriental.com,"private_beach, villa, privacy, honeymoon, luxury, family",5,5,4,2,4,"family, honeymoon, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact, villas, beach","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,17,ready_for_ingestion
27,caresse-luxury-collection-bodrum,Caresse Luxury Collection Bodrum,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Bodrum,Luxury Resort,https://www.caresse.com.tr/en,caresse.com.tr,"private_beach, honeymoon, spa, luxury",2,4,2,2,3,"honeymoon, wellness, beach_nature",وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كتجربة ساحلية هادئة وراقية: ابدأ بالخليج/الشاطئ، ثم الخصوصية، ثم الخدمة الراقية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,18,ready_for_ingestion
28,titanic-luxury-collection-bodrum,Titanic Luxury Collection Bodrum,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Bodrum,All Inclusive Resort,https://www.titanic.com.tr/titanic-luxury-collection-bodrum,titanic.com.tr,"private_beach, all_inclusive, family, kids, spa, villa",5,2,4,2,3,"family, wellness, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact, kids-club, villas, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,19,ready_for_ingestion
29,rixos-premium-bodrum,Rixos Premium Bodrum,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Bodrum,All Inclusive Resort,https://www.rixos.com/hotel-resort/rixos-premium-bodrum,rixos.com,"private_beach, all_inclusive, family, kids, spa",5,1,2,2,2,"family, wellness, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كتجربة ساحلية هادئة وراقية: ابدأ بالخليج/الشاطئ، ثم الخصوصية، ثم الخدمة الراقية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, kids-club, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,20,ready_for_ingestion
30,amanruya,Amanruya,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Bodrum,Ultra Luxury Resort,https://www.aman.com/resorts/amanruya,aman.com,"villa, privacy, honeymoon, luxury, nature",3,5,3,2,4,honeymoon,ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact, villas","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,21,ready_for_ingestion
32,six-senses-kaplankaya,Six Senses Kaplankaya,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Milas / Bodrum Region,Wellness Resort,https://www.sixsenses.com/en/hotels-resorts/europe/turkey/kaplankaya/,sixsenses.com,"wellness, privacy, private_beach, luxury, nature",2,3,4,3,4,"honeymoon, wellness, beach_nature",ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,22,ready_for_ingestion
41,d-maris-bay,D Maris Bay,Gocek Fethiye and Turquoise Coast,غوجك وفتحية والساحل الفيروزي,Marmaris / Hisaronu Bay,Luxury Bay Resort,https://www.dmarisbay.com/,dmarisbay.com,"private_bays, luxury, privacy, honeymoon, yacht",2,5,4,2,4,"honeymoon, beach_nature",ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,23,ready_for_ingestion
44,d-resort-gocek,D Resort Gocek,Gocek Fethiye and Turquoise Coast,غوجك وفتحية والساحل الفيروزي,Gocek,Marina Resort,https://www.dresortgocek.com/,dresortgocek.com,"marina, nature, beach, family, boutique",4,1,1,2,2,family,مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كتجربة ساحلية هادئة وراقية: ابدأ بالخليج/الشاطئ، ثم الخصوصية، ثم الخدمة الراقية.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,24,ready_for_ingestion
45,yazz-collective,Yazz Collective,Gocek Fethiye and Turquoise Coast,غوجك وفتحية والساحل الفيروزي,Gocek,Boat Access Hideaway,https://yazzcollective.com/,yazzcollective.com,"boat_access, privacy, honeymoon, lifestyle, nature",2,4,4,2,2,honeymoon,ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,25,ready_for_ingestion
46,hillside-beach-club,Hillside Beach Club,Gocek Fethiye and Turquoise Coast,غوجك وفتحية والساحل الفيروزي,Fethiye,Beach Club Resort,https://www.hillsidebeachclub.com/en/,hillsidebeachclub.com,"private_beach, family, wellness, nature, kids",5,1,2,3,3,"family, wellness, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة.,قدّم الفندق كتجربة ساحلية هادئة وراقية: ابدأ بالخليج/الشاطئ، ثم الخصوصية، ثم الخدمة الراقية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, kids-club, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,26,ready_for_ingestion
