id,slug,name,cluster,cluster_ar,destination,type,official_url,official_domain,tags,family_score,honeymoon_score,privacy_score,nature_score,luxury_score,audience_segments,saudi_fit_reason_ar,content_angle_ar,crawl_hints,source_strategy,media_rights_note_ar,cohort,launch_priority,data_status
11,karinna-hotel-convention-center-and-spa,Karinna Hotel Convention Center and Spa,Mountain & Wellness Escapes,ملاذات الجبال والسبا,Uludag / Bursa,Mountain Spa Hotel,https://karinnahotel.com/en?id=6&s=sayfa,karinnahotel.com,"mountain, ski, family, spa",4,1,1,2,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
12,bof-hotel-uludag-ski-and-luxury-resort,BOF Hotel Uludag Ski and Luxury Resort,Mountain & Wellness Escapes,ملاذات الجبال والسبا,Uludag / Bursa,Ski Resort,https://bofuludag.com/en/,bofuludag.com,"mountain, ski, luxury, family",4,2,1,2,3,"family, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
13,limak-thermal-boutique-hotel,Limak Thermal Boutique Hotel,Thermal & Forest Escapes,ملاذات الغابات والحراري,Yalova Termal,Thermal Boutique Hotel,https://limakthermal.com/,limakthermal.com,"thermal, forest, spa, heritage, honeymoon",2,3,1,3,2,"honeymoon, wellness, mountain_lake_nature",ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة.,قدّم الفندق كرحلة استرخاء وسبا: ابدأ بالطبيعة، ثم الحمامات/الحراري، ثم سهولة الرحلة للعائلة أو الزوجين.,"homepage, rooms, gallery, offers, dining, spa, location, contact, thermal, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
14,abant-palace,Abant Palace,Lake & Forest Escapes,ملاذات البحيرات والغابات,Abant / Bolu,Lake Hotel,https://abantpalace.com/,abantpalace.com,"lake, forest, spa, family",4,1,1,3,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,8,ready_for_ingestion
15,buyuk-abant-hotel,Buyuk Abant Hotel,Lake & Forest Escapes,ملاذات البحيرات والغابات,Abant / Bolu,Lake Hotel,https://buyukabantoteli.com/en/,buyukabantoteli.com,"lake, forest, family, nature",4,1,1,4,2,"family, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن.,قدّم الفندق كملاذ قريب للطبيعة: ابدأ بالبحيرة أو الغابة أو الجبل، ثم الأنشطة، ثم نوع الضيف الأنسب.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
16,royal-uzungol-hotel,Royal Uzungol Hotel,Black Sea Nature,طبيعة البحر الأسود,Uzungol / Trabzon,Lake Hotel,https://www.royaluzungol.com/en/,royaluzungol.com,"lake, mountain, family, spa, black_sea",4,1,1,4,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,9,ready_for_ingestion
17,ricosta-hotel,Ricosta Hotel,Black Sea Nature,طبيعة البحر الأسود,Rize,Beachfront Hotel,https://www.ricostahotel.com.tr/,ricostahotel.com.tr,"private_beach, black_sea, family, spa, luxury",4,2,2,3,3,"family, wellness, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,10,ready_for_ingestion
18,ridos-thermal-hotel-and-spa,Ridos Thermal Hotel and Spa,Black Sea Nature,طبيعة البحر الأسود,Ikizdere / Rize,Thermal Mountain Hotel,https://www.ridosotel.com.tr/en/,ridosotel.com.tr,"thermal, mountain, forest, spa, family",4,1,1,4,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كرحلة استرخاء وسبا: ابدأ بالطبيعة، ثم الحمامات/الحراري، ثم سهولة الرحلة للعائلة أو الزوجين.,"homepage, rooms, gallery, offers, dining, spa, location, contact, thermal, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,11,ready_for_ingestion
19,babillon-hotel-and-spa-and-restaurant,Babillon Hotel and Spa and Restaurant,Black Sea Nature,طبيعة البحر الأسود,Rize,Beachfront Hotel,https://babillonhotel.com/,babillonhotel.com,"private_beach, black_sea, family, spa",4,1,2,3,2,"family, wellness, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,12,ready_for_ingestion
20,hancioglu-camburnu-orman-evleri-and-hotel,Hancioglu Camburnu Orman Evleri and Hotel,Black Sea Nature,طبيعة البحر الأسود,Surmene / Trabzon,Forest Lodges,https://camburnu.com/,camburnu.com,"forest, black_sea, bungalow, family, nature",5,1,1,4,2,"family, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,13,ready_for_ingestion
21,ayder-doga-resort-hotel,Ayder Doga Resort Hotel,Black Sea Nature,طبيعة البحر الأسود,Ayder / Rize,Mountain Resort,https://www.aydervillage.com/en-US/,aydervillage.com,"mountain, forest, waterfall, honeymoon, family",4,3,1,4,2,"family, honeymoon, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,14,ready_for_ingestion
22,kackar-resort-hotel,Kackar Resort Hotel,Black Sea Nature,طبيعة البحر الأسود,Ayder / Rize,Mountain Resort,https://accommodation.kackarbyutmb.com/kackarresort,accommodation.kackarbyutmb.com,"mountain, forest, spa, family, nature",4,1,1,4,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,15,ready_for_ingestion
23,sera-lake-resort-hotel,Sera Lake Resort Hotel,Black Sea Nature,طبيعة البحر الأسود,Trabzon,Lake View Resort,https://seralakehotel.com/en/,seralakehotel.com,"lake, sea_view, family, spa, black_sea",4,1,1,3,2,"family, wellness, mountain_lake_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويركّز على الطبيعة والهدوء بعيدًا عن زحمة المدن، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,16,ready_for_ingestion
24,radisson-blu-hotel-trabzon,Radisson Blu Hotel Trabzon,Black Sea Nature,طبيعة البحر الأسود,Trabzon,View Hotel,https://www.radissonhotels.com/en-us/hotels/radisson-blu-trabzon,radissonhotels.com,"sea_view, luxury, family, city_edge",4,2,1,1,3,family,مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
25,ramada-plaza-by-wyndham-trabzon,Ramada Plaza by Wyndham Trabzon,Black Sea Nature,طبيعة البحر الأسود,Trabzon,Beachfront Hotel,https://www.wyndhamhotels.com/ramada/trabzon-turkiye/ramada-plaza-trabzon/overview,wyndhamhotels.com,"private_beach, sea_view, family, spa",4,1,2,2,2,"family, wellness, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويخدم الطلب العالي على الشمال التركي والجو الأبرد.,قدّم الفندق كخيار للشمال التركي: ركّز على الخضرة والجو البارد والإطلالات وسهولة الرحلات اليومية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,expansion,,ready_for_ingestion
26,mandarin-oriental-bodrum,Mandarin Oriental Bodrum,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Bodrum,Luxury Resort,https://www.mandarinoriental.com/en/bodrum/paradise-bay,mandarinoriental.com,"private_beach, villa, privacy, honeymoon, luxury, family",5,5,4,2,4,"family, honeymoon, beach_nature",مناسب للعائلات الخليجية بفضل المساحات والمرافق العائلية، ويقدّم خصوصية أعلى تناسب الحجوزات الراقية، وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كخيار خصوصية وفخامة: ابدأ بالمساحة والهدوء، ثم الفلل/الأجنحة، ثم سبب ملاءمته للعميل الخليجي.,"homepage, rooms, gallery, offers, dining, spa, location, contact, villas, beach","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,17,ready_for_ingestion
27,caresse-luxury-collection-bodrum,Caresse Luxury Collection Bodrum,Bodrum and Aegean Luxury Coast,بودروم والساحل الإيجي الفاخر,Bodrum,Luxury Resort,https://www.caresse.com.tr/en,caresse.com.tr,"private_beach, honeymoon, spa, luxury",2,4,2,2,3,"honeymoon, wellness, beach_nature",وفيه تجربة ساحلية هادئة بخليج أو شاطئ خاص، مع عنصر سبا/استرخاء مهم في الرحلات الطويلة، ويصلح لرحلات الصيف الفاخرة أو شهر العسل.,قدّم الفندق كتجربة ساحلية هادئة وراقية: ابدأ بالخليج/الشاطئ، ثم الخصوصية، ثم الخدمة الراقية.,"homepage, rooms, gallery, offers, dining, spa, location, contact, beach, wellness","Use official site pages first: homepage, rooms, gallery, offers, dining, spa, location, then capture source URLs for media and offer text.",للتطوير: خزّن روابط الصور الأصلية وبيانات المصدر. قبل الإطلاق التجاري: استخدم فقط الصور التي لديك حق إعادة استخدامها من الفندق أو المورد.,launch,18,ready_for_ingestion
